SampleID	FrogSpecies	FrogGenus	FrogFamily	FrogOrder	LifeStage	CaptiveWild	CaptiveWild2	Species_captive_wild	Type_of_captivity	FrogSex	Locality	State	Country	Region	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration.Captivity	CaptivitySubstrateDetailed	GroupedSubstrate	BinarySubstrate	Description
mck42Pre.1Bubo.9.453250	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_08_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck42Pre.1Bubo.9.453250	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck43Pre.1Bubo.10.453069	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_09_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck43Pre.1Bubo.10.453069	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
CSA-Acer-014	Atelopus certus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus certus.Captive	NA	female	Gamboa (captive)	NA	Panama	Tropical	NA	frozen swab in glycerol	1.225379808	NA	CSA_Acer_014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CSA-Acer-014	Born in Captivity	2183	false bottom	Sterile	Sterile	skin
CSA-Acer-034	Atelopus certus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus certus.Captive	NA	male	Gamboa (captive)	NA	Panama	Tropical	NA	frozen swab in glycerol	0.469919358	NA	CSA_Acer_034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CSA-Acer-034	Born in Captivity	2183	false bottom	Sterile	Sterile	skin
CSA-Acer-058	Atelopus certus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus certus.Captive	NA	male	Gamboa (captive)	NA	Panama	Tropical	NA	frozen swab in glycerol	1.682695533	NA	CSA_Acer_058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CSA-Acer-058	Born in Captivity	2183	false bottom	Sterile	Sterile	skin
CSA-Acer-068	Atelopus certus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus certus.Captive	NA	male	Gamboa (captive)	NA	Panama	Tropical	NA	frozen swab in glycerol	1.659056677	NA	CSA_Acer_068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CSA-Acer-068	Born in Captivity	2183	false bottom	Sterile	Sterile	skin
CSA-Acer-070	Atelopus certus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus certus.Captive	NA	female	Gamboa (captive)	NA	Panama	Tropical	NA	frozen swab in glycerol	1.476998455	NA	CSA_Acer_070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CSA-Acer-070	Born in Captivity	1904	false bottom	Sterile	Sterile	skin
CBR-Alim-39	Atelopus limosus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus limosus.Captive	NA	male	Gamboa (captive)	NA	Panama	Tropical	NA	frozen swab in glycerol	1.727733578	NA	CBR_Alim_39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CBR-Alim-39	Born in Captivity	1916	false bottom	Sterile	Sterile	skin
RMA-Alim-002	Atelopus limosus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus limosus.Captive	NA	male	Gamboa (captive)	NA	Panama	Tropical	captive	frozen swab in glycerol	2.051523908	NA	RMA_Alim_002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	RMA-Alim-002	Born in Captivity	1916	false bottom	Sterile	Sterile	skin
RMA-Alim-006	Atelopus limosus	Atelopus	Bufonidae	Anura	adult	Captive	CaptiveSterile	Atelopus limosus.Captive	NA	male	Gamboa (captive)	NA	Panama	Tropical	captive	frozen swab in glycerol	1.997151876	NA	RMA_Alim_006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	RMA-Alim-006	Born in Captivity	1916	false bottom	Sterile	Sterile	skin
